# Spanish (es_ES) translations for AILANG utilities
# Format: english_text|spanish_text
# One translation per line, pipe-delimited

# Common errors
file not found|archivo no encontrado
permission denied|permiso denegado
cannot open|no se puede abrir
invalid argument|argumento inválido
no such file or directory|no existe el archivo o directorio
is a directory|es un directorio
not a directory|no es un directorio
read error|error de lectura
write error|error de escritura

# File operations
cannot remove|no se puede eliminar
cannot copy|no se puede copiar
cannot move|no se puede mover
cannot create|no se puede crear
already exists|ya existe
directory not empty|directorio no vacío

# Common messages
Usage|Uso
Options|Opciones
Examples|Ejemplos
Help|Ayuda
Version|Versión

# wc specific
newline|nueva línea
word|palabra
byte|byte
character|carácter

# grep specific
no matches found|no se encontraron coincidencias
binary file matches|archivo binario coincide

# ls specific  
total|total
link|enlace

# Permission strings
read|lectura
write|escritura
execute|ejecución

# You get the idea - add more as needed
# Keep it simple, just common error messages
